Timestamp           Device_Name Heart_Rate
2025-02-10 20:04:40  Monitor_D  111
2025-02-10 20:04:41  Monitor_D  106
2025-02-10 20:04:42  Monitor_D  60
2025-02-10 20:04:43  Monitor_D  45
2025-02-10 20:04:44  Monitor_D  41
2025-02-10 20:04:44  Monitor_D  92
2025-02-10 20:04:45  Monitor_D  92
2025-02-10 20:04:46  Monitor_D  91
2025-02-10 20:04:47  Monitor_D  108
2025-02-10 20:04:48  Monitor_D  108
2025-02-10 20:04:49  Monitor_D  106
2025-02-10 20:04:50  Monitor_D  45
2025-02-10 20:04:51  Monitor_D  52
2025-02-10 20:04:52  Monitor_D  80
2025-02-10 20:04:53  Monitor_D  53
2025-02-10 20:04:54  Monitor_D  76
2025-02-10 20:04:55  Monitor_D  58
2025-02-10 20:04:57  Monitor_D  50
2025-02-10 20:04:58  Monitor_D  91
2025-02-10 20:04:59  Monitor_D  81
2025-02-10 20:05:00  Monitor_D  52
2025-02-10 20:05:01  Monitor_D  75
2025-02-10 20:05:02  Monitor_D  84
2025-02-10 20:05:03  Monitor_D  96
2025-02-10 20:05:04  Monitor_D  119
2025-02-10 20:05:05  Monitor_D  91
2025-02-10 20:05:06  Monitor_D  114
2025-02-10 20:05:07  Monitor_D  107
2025-02-10 20:05:08  Monitor_D  82
2025-02-10 20:05:09  Monitor_D  46
2025-02-10 20:05:10  Monitor_D  57
2025-02-10 20:05:11  Monitor_D  55
2025-02-10 20:05:12  Monitor_D  49
2025-02-10 20:05:13  Monitor_D  77
2025-02-10 20:05:14  Monitor_D  47
2025-02-10 20:05:15  Monitor_D  87
2025-02-10 20:05:16  Monitor_D  84
2025-02-10 20:05:16  Monitor_D  72
2025-02-10 20:05:17  Monitor_D  67
2025-02-10 20:05:18  Monitor_D  104
2025-02-10 20:05:19  Monitor_D  58
2025-02-10 20:05:20  Monitor_D  111
2025-02-10 20:05:21  Monitor_D  47
2025-02-10 20:05:22  Monitor_D  120
2025-02-10 20:05:23  Monitor_D  85
2025-02-10 20:05:24  Monitor_D  118
2025-02-10 20:05:25  Monitor_D  110
2025-02-10 20:05:26  Monitor_D  74
2025-02-10 20:05:27  Monitor_D  81
2025-02-10 20:05:29  Monitor_D  92
2025-02-10 20:05:30  Monitor_D  84
2025-02-10 20:05:31  Monitor_D  69
2025-02-10 20:05:32  Monitor_D  71
2025-02-10 20:05:33  Monitor_D  110
2025-02-10 20:05:34  Monitor_D  82
2025-02-10 20:05:35  Monitor_D  42
2025-02-10 20:05:36  Monitor_D  93
2025-02-10 20:05:37  Monitor_D  112
2025-02-10 20:05:38  Monitor_D  82
2025-02-10 20:05:39  Monitor_D  91
2025-02-10 20:05:40  Monitor_D  62
2025-02-10 20:05:41  Monitor_D  87
2025-02-10 20:05:42  Monitor_D  118
2025-02-10 20:05:43  Monitor_D  46
2025-02-10 20:05:44  Monitor_D  91
